札幌,さっぽろ,北海道,北海道地方
青森,あおもり,青森県,東北地方
盛岡,もりおか,岩手県,東北地方
仙台,せんだい,宮城県,東北地方
秋田,あきた,秋田県,東北地方
山形,やまがた,山形県,東北地方
福島,ふくしま,福島県,東北地方
水戸,みと,茨城県,関東地方
宇都宮,うつのみや,栃木県,関東地方
前橋,まえばし,群馬県,関東地方
さいたま,さいたま,埼玉県,関東地方
千葉,ちば,千葉県,関東地方
東京,とうきょう,東京都,関東地方
横浜,よこはま,神奈川県,関東地方
富山,とやま,富山県,北陸地方
金沢,かなざわ,石川県,北陸地方
福井,ふくい,福井県,北陸地方
新潟,にいがた,新潟県,甲信越地方
甲府,こうふ,山梨県,甲信越地方
長野,ながの,長野県,甲信越地方
岐阜,ぎふ,岐阜県,東海地方
静岡,しずおか,静岡県,東海地方
名古屋,なごや,愛知県,東海地方
津,つ,三重県,東海地方
大津,おおつ,滋賀県,関西地方
京都,きょうと,京都府,関西地方
大阪,おおさか,大阪府,関西地方
神戸,こうべ,兵庫県,関西地方
奈良,なら,奈良県,関西地方
和歌山,わかやま,和歌山県,関西地方
鳥取,とっとり,鳥取県,中国地方
松江,まつえ,島根県,中国地方
岡山,おかやま,岡山県,中国地方
広島,ひろしま,広島県,中国地方
山形,やまがた,山口県,中国地方
徳島,とくしま,徳島県,四国地方
高松,たかまつ,香川県,四国地方
松山,まつやま,愛媛県,四国地方
高知,こうち,高知県,四国地方
福岡,ふくおか,福岡県,九州地方
佐賀,さが,佐賀県,九州地方
長崎,ながさき,長崎県,九州地方
熊本,くまもと,熊本県,九州地方
大分,おおいた,大分県,九州地方
宮崎,みやざき,宮崎県,九州地方
鹿児島,かごしま,鹿児島県,九州地方
沖縄,おきなわ,沖縄県,沖縄地方
