北海道,ほっかいどう,北海道
青森,あおもり,東北
岩手,いわて,東北
宮城,みやぎ,東北
秋田,あきた,東北
山形,やまがた,東北
福島,ふくしま,東北
茨城,いばらき,関東
栃木,とちぎ,関東
群馬,ぐんま,関東
埼玉,さいたま,関東
千葉,ちば,関東
東京,とうきょう,関東
神奈川,かながわ,関東
新潟,にいがた,中部
富山,とやま,中部
石川,いしかわ,中部
福井,ふくい,中部
山梨,やまなし,中部
長野,ながの,中部
岐阜,ぎふ,中部
静岡,しずおか,中部
愛知,あいち,中部
三重,みえ,近畿
滋賀,しが,近畿
京都,きょうと,近畿
大阪,おおさか,近畿
兵庫,ひょうご,近畿
奈良,なら,近畿
和歌山,わかやま,近畿
鳥取,とっとり,中国
島根,しまね,中国
岡山,おかやま,中国
広島,ひろしま,中国
山口,やまぐち,中国
徳島,とくしま,四国
香川,かがわ,四国
愛媛,えひめ,四国
高知,こうち,四国
福岡,ふくおか,九州
佐賀,さが,九州
長崎,ながさき,九州
熊本,くまもと,九州
大分,おおいた,九州
宮崎,みやざき,九州
鹿児島,かごしま,九州
沖縄,おきなわ,沖縄
